feature,importance
incident_severity_Major Damage,0.12750695624883052
insured_hobbies_chess,0.045597988121381834
incident_severity_Minor Damage,0.04159437779367233
vehicle_claim,0.03588250493093713
total_claim_amount,0.03346015718986287
incident_severity_Total Loss,0.032641013592492996
property_claim,0.03055999816769264
injury_claim,0.027949487623914335
policy_annual_premium,0.026951169253474808
policy_age_days,0.02589715143562161
months_as_customer,0.025014101032920615
insured_hobbies_cross-fit,0.024429629563054747
age,0.02228640570139398
incident_hour_of_the_day,0.021030039977779896
auto_year,0.020485036161972236
policy_bind_year,0.020372625737122563
capital-loss,0.01676333613208091
capital-gains,0.016592501832419313
incident_dayofweek,0.0138186185786329
witnesses,0.011281004517688934
umbrella_limit,0.008774590351665277
bodily_injuries,0.007876644384696256
policy_deductable,0.007164397964112712
incident_month,0.00710048610828008
authorities_contacted_Police,0.00582729703375831
number_of_vehicles_involved,0.005516147587166507
collision_type_Rear Collision,0.004974100074232242
incident_state_WV,0.00474344559460637
policy_state_OH,0.0046296422721460355
incident_severity_Trivial Damage,0.004603420712648626
insured_hobbies_camping,0.004523195248146524
policy_csl_500/1000,0.004424581763138627
policy_csl_100/300,0.004401516967336753
insured_occupation_exec-managerial,0.004396359159307004
insured_education_level_High School,0.004329045933068733
insured_relationship_own-child,0.004287152062855952
incident_state_SC,0.004278423641216845
policy_csl_250/500,0.004196694927041685
incident_type_Single Vehicle Collision,0.004035066613413873
policy_state_IL,0.0040322537622513735
